Year,2021,2021,2021,2021,2021,2021
Animal,Cattle /Imports (kg P live),Cattle /Exports (kg P live),Hogs /Imports (kg P live),Hogs /Exports (kg P live),Sheep /Imports (kg P live),Sheep /Exports (kg P live)
Total Quebec,239312.59440282523,435890.7969480032,613840.4992559372,375656.863587789,1358.4434782608691,16679.904347826083
