"REF_DATE","GEO","DGUID","Supply and disposition of sheep and lambs","Survey date","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Eastern provinces","","Total supply of sheep and lambs","January to June","Head","148","thousands","3","v44184531","2.1.1","818.4","","","","1"
"2000","Eastern provinces","","Total supply of sheep and lambs","July to December","Head","148","thousands","3","v44184791","2.1.2","731.1","","","","1"
"2000","Eastern provinces","","Beginning inventory of sheep and lambs","January to June","Head","148","thousands","3","v44184532","2.2.1","401.0","","","","1"
"2000","Eastern provinces","","Beginning inventory of sheep and lambs","July to December","Head","148","thousands","3","v44184792","2.2.2","571.3","","","","1"
"2000","Eastern provinces","","Lambs born","January to June","Head","148","thousands","3","v44184533","2.3.1","388.9","","","","1"
"2000","Eastern provinces","","Lambs born","July to December","Head","148","thousands","3","v44184793","2.3.2","150.8","","","","1"
"2000","Eastern provinces","","Interprovincial imports (net) of sheep and lambs","January to June","Head","148","thousands","3","v44184534","2.4.1","28.3","","","t","1"
"2000","Eastern provinces","","Interprovincial imports (net) of sheep and lambs","July to December","Head","148","thousands","3","v44184794","2.4.2","9.0","","","t","1"
"2000","Eastern provinces","","International imports of sheep and lambs","January to June","Head","148","thousands","3","v44184535","2.5.1","0.2","","","","1"
"2000","Eastern provinces","","International imports of sheep and lambs","July to December","Head","148","thousands","3","v44184795","2.5.2","0.0","","","","1"
"2000","Eastern provinces","","Total disposition of sheep and lambs","January to June","Head","148","thousands","3","v44184536","2.6.1","247.1","","","","1"
"2000","Eastern provinces","","Total disposition of sheep and lambs","July to December","Head","148","thousands","3","v44184796","2.6.2","223.3","","","","1"
"2000","Eastern provinces","","Deaths and condemnations of sheep and lambs","January to June","Head","148","thousands","3","v44184537","2.7.1","39.2","","","","1"
"2000","Eastern provinces","","Deaths and condemnations of sheep and lambs","July to December","Head","148","thousands","3","v44184797","2.7.2","22.5","","","","1"
"2000","Eastern provinces","","Deaths, sheep","January to June","Head","148","thousands","3","v44184538","2.8.1","3.7","","","","1"
"2000","Eastern provinces","","Deaths, sheep","July to December","Head","148","thousands","3","v44184798","2.8.2","11.3","","","","1"
"2000","Eastern provinces","","Deaths, lambs","January to June","Head","148","thousands","3","v44184539","2.9.1","34.4","","","","1"
"2000","Eastern provinces","","Deaths, lambs","July to December","Head","148","thousands","3","v44184799","2.9.2","10.1","","","","1"
"2000","Eastern provinces","","Condemnations of sheep and lambs","January to June","Head","148","thousands","3","v44184540","2.10.1","1.1","","","","1"
"2000","Eastern provinces","","Condemnations of sheep and lambs","July to December","Head","148","thousands","3","v44184800","2.10.2","1.1","","","","1"
"2000","Eastern provinces","","Interprovincial exports (net) of sheep and lambs","January to June","Head","148","thousands","3","v44184541","2.11.1","0.0","","","t","1"
"2000","Eastern provinces","","Interprovincial exports (net) of sheep and lambs","July to December","Head","148","thousands","3","v44184801","2.11.2","0.0","","","t","1"
