DGUID,Greenhouse cucumbers (m2),Greenhouse peppers (m2),Greenhouse tomatoes (m2),year,CD,Greenhouse tomatoes (Vegetable kg),Greenhouse tomatoes (Vegetable kg P),Greenhouse tomatoes (Total kg P),Greenhouse cucumbers (Vegetable kg),Greenhouse cucumbers (Vegetable kg P),Greenhouse cucumbers (Total kg P),Greenhouse peppers (Vegetable kg),Greenhouse peppers (Vegetable kg P),Greenhouse peppers (Total kg P)
2021A00032446,0.0,0.0,0.0,2021,2446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032447,0.0,0.0,0.0,2021,2447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032448,0.0,0.0,0.0,2021,2448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032449,0.0,0.0,119369.0,2021,2449,4693899.4394000005,1877.5597757600003,1877.5597757600003,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032450,0.0,0.0,0.0,2021,2450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032451,0.0,0.0,41477.0,2021,2451,1630983.4802,652.39339208,652.39339208,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032452,0.0,0.0,0.0,2021,2452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032453,0.0,0.0,0.0,2021,2453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032454,0.0,0.0,28894.0,2021,2454,1136187.2044,454.47488176,454.47488176,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032455,0.0,0.0,0.0,2021,2455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032456,0.0,0.0,32184.0,2021,2456,1265558.5584,506.22342336,506.22342336,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032457,0.0,0.0,0.0,2021,2457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032458,0.0,0.0,0.0,2021,2458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032459,0.0,0.0,0.0,2021,2459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032460,0.0,0.0,0.0,2021,2460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032461,0.0,0.0,0.0,2021,2461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032462,0.0,0.0,0.0,2021,2462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032463,0.0,1268.0,0.0,2021,2463,0.0,0.0,0.0,0.0,0.0,0.0,26780.793999999998,32.136952799999996,32.136952799999996
2021A00032464,0.0,0.0,0.0,2021,2464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032465,0.0,2924.0,0.0,2021,2465,0.0,0.0,0.0,0.0,0.0,0.0,61756.342,74.1076104,74.1076104
2021A00032466,0.0,0.0,0.0,2021,2466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032467,0.0,0.0,0.0,2021,2467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
