DGUID,Apples (m2),"Blueberries, total (m2)",Cranberries (m2),Grapes (m2),Pears (m2),Plums and prunes (m2),Raspberries (m2),Strawberries (m2),Cherries (m2),year,CD,Apples (Fruit kg),Apples (Fruit kg P),"Asparagus, producing (Total kg P)",Pears (Fruit kg),Pears (Fruit kg P),Plums and prunes (Fruit kg),Plums and prunes (Fruit kg P),Grapes (Fruit kg),Grapes (Fruit kg P),Strawberries (Fruit kg),Strawberries (Fruit kg P),Raspberries (Fruit kg),Raspberries (Fruit kg P),Cranberries (Fruit kg),Cranberries (Fruit kg P),"Blueberries, total (Fruit kg)","Blueberries, total (Fruit kg P)",Cherries (Fruit kg),Cherries (Fruit kg P)
2021A00032422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,2422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,2423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032425,290000.0,310000.0,0.0,0.0,10000.0,10000.0,200000.0,1020000.0,10000.0,2021,2425,612161.0,122.43220000000001,0.3478,4698.0,0.46980000000000005,1411.0,0.2822,0.0,0.0,958800.0,220.52399999999997,62000.0,18.6,0.0,0.0,37200.0,4.464,1739.0,0.3478
2021A00032426,0.0,0.0,0.0,0.0,10000.0,10000.0,130000.0,220000.0,0.0,2021,2426,0.0,0.0,0.0,4698.0,0.46980000000000005,1411.0,0.2822,0.0,0.0,206800.0,47.56399999999999,40300.0,12.09,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,2427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,2428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032429,0.0,0.0,0.0,0.0,20000.0,20000.0,0.0,0.0,20000.0,2021,2429,0.0,0.0,0.6956,9396.0,0.9396000000000001,2822.0,0.5644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3478.0,0.6956
2021A00032430,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,2021,2430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12400.0,3.72,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,2431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032432,1190000.0,120000.0,12650000.0,0.0,0.0,0.0,30000.0,0.0,0.0,2021,2432,2511971.0,502.39419999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9300.0,2.79,29094999.999999996,1876.6274999999996,14400.0,1.7280000000000002,0.0,0.0
