,CD,DairyCow,DairyCow_AU,% of dairy cows (animals) in CD over total Quebec,% of dairy cows (AU) in CD over total Quebec,Milk (liters),Milk (kg P)
0,2401,90.0,121.62162162162164,0.025338123177062803,0.02533812317706281,848291.4785076408,797.3939897971823
1,2402,0.0,0.0,0.0,0.0,0.0,0.0
2,2403,0.0,0.0,0.0,0.0,0.0,0.0
3,2404,0.0,0.0,0.0,0.0,0.0,0.0
4,2405,170.0,229.7297297297297,0.047860899334451965,0.04786089933445196,1602328.3482922106,1506.188647394678
5,2406,462.0,624.3243243243244,0.1300690323089224,0.1300690323089224,4354562.92300589,4093.2891476255368
6,2407,3615.0,4885.135135135135,1.0177479476120226,1.0177479476120226,34073041.05339024,32028.658590186827
7,2408,1992.0,2691.891891891892,0.5608171263189901,0.5608171263189901,18775518.057635784,17648.98697417764
8,2409,3873.0,5233.783783783784,1.0903839007196028,1.0903839007196028,36504809.958445475,34314.52136093874
9,2410,5509.0,7444.594594594595,1.550974673138211,1.550974673138211,51924863.94553993,48809.37210880753
10,2411,3354.0,4532.4324324324325,0.9442673903985406,0.9442673903985405,31612995.765718084,29716.216019774998
11,2412,6240.0,8432.432432432433,1.7567765402763544,1.7567765402763547,58814875.84319643,55285.983292604644
12,2413,2810.0,3797.2972972972975,0.7911125125282942,0.7911125125282942,26485545.051183008,24896.412348112026
13,2414,12667.0,17117.567567567567,3.566200069820606,3.5662000698206056,119392312.8695143,112228.77409734344
14,2415,295.0,398.6486486486487,0.08305273708037253,0.08305273708037253,2780510.9573306004,2613.680299890764
15,2416,455.0,614.8648648648649,0.12809828939515086,0.12809828939515086,4288584.696899741,4031.2696150857564
16,2417,4844.0,6545.945945945946,1.3637540963299137,1.3637540963299135,45656932.465455696,42917.516517528355
17,2418,4506.0,6089.189189189189,1.2685953670649444,1.2685953670649444,42471126.690615885,39922.85908917893
18,2419,15818.0,21375.67567567568,4.453315915719772,4.453315915719772,149091940.07815403,140146.42367346477
19,2420,893.0,1206.7567567567569,0.2514104888568565,0.2514104888568565,8416936.55897026,7911.920365432044
20,2421,307.0,414.8648648648648,0.0864311535039809,0.08643115350398088,2893616.487798286,2719.999498530389
21,2422,0.0,0.0,0.0,0.0,0.0,0.0
22,2423,0.0,0.0,0.0,0.0,0.0,0.0
23,2425,957.0,1293.2432432432431,0.26942870978276784,0.2694287097827678,9020166.054797914,8478.95609151004
24,2426,10863.0,14679.72972972973,3.058311467471481,3.058311467471481,102388781.45587227,96245.45456851993
25,2427,8065.0,10898.648648648648,2.2705773713667945,2.2705773713667945,76016341.93515693,71455.3614190475
26,2428,1138.0,1537.837837837838,0.32038649083886084,0.32038649083886084,10726174.472685505,10082.604004324374
27,2429,6795.0,9182.432432432432,1.9130282998682417,1.9130282998682417,64046006.62732688,60203.24622968727
28,2430,5436.0,7345.945945945946,1.5304226398945935,1.5304226398945933,51236805.30186151,48162.59698374982
29,2431,6363.0,8598.648648648648,1.7914053086183404,1.79140530861834,59974207.53049021,56375.7550786608
30,2432,9514.0,12856.756756756757,2.678521154517506,2.678521154517506,89673834.73912995,84293.40465478215
31,2433,14722.0,19894.594594594597,4.14475388236354,4.14475388236354,138761634.96210542,130435.9368643791
32,2434,5535.0,7479.72972972973,1.5582945753893624,1.5582945753893624,52169925.92821991,49039.73037252671
33,2435,1829.0,2471.6216216216217,0.5149269698983097,0.5149269698983097,17239167.935449723,16204.817859322739
34,2436,215.0,290.5405405405405,0.06052996092298337,0.06052996092298336,2026474.087546031,1904.885642293269
35,2437,5818.0,7862.162162162162,1.6379688960461265,1.6379688960461265,54837331.355082825,51547.09147377785
