DGUID,CD,REF_DATE,Animal,kg P live,kg P carcass,kg P slaugther waste
2021A00032414,2414,2021,Sheep,0.0,0.0,0.0
2021A00032414,2414,2021,Goat,0.0,0.0,0.0
2021A00032414,2414,2021,Calves,0.0,0.0,0.0
2021A00032414,2414,2021,Cattle,0.0,0.0,0.0
2021A00032414,2414,2021,Chicken,0.0,0.0,0.0
2021A00032414,2414,2021,Turkey,0.0,0.0,0.0
2021A00032414,2414,2021,Rabbit,0.0,0.0,0.0
2021A00032415,2415,2021,Hogs,0.0,0.0,0.0
2021A00032415,2415,2021,Sheep,0.0,0.0,0.0
2021A00032415,2415,2021,Goat,0.0,0.0,0.0
2021A00032415,2415,2021,Calves,0.0,0.0,0.0
2021A00032415,2415,2021,Cattle,0.0,0.0,0.0
2021A00032415,2415,2021,Chicken,0.0,0.0,0.0
2021A00032415,2415,2021,Turkey,0.0,0.0,0.0
2021A00032415,2415,2021,Rabbit,0.0,0.0,0.0
2021A00032416,2416,2021,Hogs,0.0,0.0,0.0
2021A00032416,2416,2021,Sheep,0.0,0.0,0.0
2021A00032416,2416,2021,Goat,0.0,0.0,0.0
2021A00032416,2416,2021,Calves,0.0,0.0,0.0
2021A00032416,2416,2021,Cattle,0.0,0.0,0.0
2021A00032416,2416,2021,Chicken,0.0,0.0,0.0
2021A00032416,2416,2021,Turkey,0.0,0.0,0.0
2021A00032416,2416,2021,Rabbit,0.0,0.0,0.0
2021A00032417,2417,2021,Hogs,0.0,0.0,0.0
2021A00032417,2417,2021,Sheep,0.0,0.0,0.0
2021A00032417,2417,2021,Goat,0.0,0.0,0.0
2021A00032417,2417,2021,Calves,0.0,0.0,0.0
2021A00032417,2417,2021,Cattle,0.0,0.0,0.0
2021A00032417,2417,2021,Chicken,0.0,0.0,0.0
2021A00032417,2417,2021,Turkey,0.0,0.0,0.0
2021A00032417,2417,2021,Rabbit,0.0,0.0,0.0
2021A00032418,2418,2021,Hogs,0.0,0.0,0.0
2021A00032418,2418,2021,Sheep,0.0,0.0,0.0
2021A00032418,2418,2021,Goat,0.0,0.0,0.0
2021A00032418,2418,2021,Calves,0.0,0.0,0.0
2021A00032418,2418,2021,Cattle,0.0,0.0,0.0
2021A00032418,2418,2021,Chicken,0.0,0.0,0.0
2021A00032418,2418,2021,Turkey,0.0,0.0,0.0
2021A00032418,2418,2021,Rabbit,0.0,0.0,0.0
2021A00032419,2419,2021,Hogs,476976.97890837246,381581.583126698,95395.3957816745
2021A00032419,2419,2021,Sheep,1544.766504512159,710.592592075593,834.1739124365657
2021A00032419,2419,2021,Goat,94.5486967848557,47.27434839242785,47.27434839242785
