"REF_DATE","GEO","DGUID","Supply and disposition of cattle","Survey date","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Atlantic provinces","2016A00011","Total supply of cattle","January to June","Head","148","thousands","3","v41123338","3.1.1","366.7","","","","1"
"2000","Atlantic provinces","2016A00011","Total supply of cattle","July to December","Head","148","thousands","3","v41123339","3.1.2","349.5","","","","1"
"2000","Atlantic provinces","2016A00011","Beginning inventory of cattle","January to June","Head","148","thousands","3","v41123340","3.2.1","299.8","","","","1"
"2000","Atlantic provinces","2016A00011","Beginning inventory of cattle","July to December","Head","148","thousands","3","v41123341","3.2.2","302.4","","","","1"
"2000","Atlantic provinces","2016A00011","Calves born","January to June","Head","148","thousands","3","v41123342","3.3.1","66.6","","","","1"
"2000","Atlantic provinces","2016A00011","Calves born","July to December","Head","148","thousands","3","v41123343","3.3.2","45.9","","","","1"
"2000","Atlantic provinces","2016A00011","Interprovincial imports of cattle","January to June","Head","148","thousands","3","v41123344","3.4.1","0.3","","","","1"
"2000","Atlantic provinces","2016A00011","Interprovincial imports of cattle","July to December","Head","148","thousands","3","v41123345","3.4.2","1.2","","","","1"
"2000","Atlantic provinces","2016A00011","International imports of cattle","January to June","Head","148","thousands","3","v41123346","3.5.1","0.0","","","","1"
"2000","Atlantic provinces","2016A00011","International imports of cattle","July to December","Head","148","thousands","3","v41123347","3.5.2","0.0","","","","1"
"2000","Atlantic provinces","2016A00011","Total disposition of cattle","January to June","Head","148","thousands","3","v41123348","3.6.1","64.3","","","","1"
"2000","Atlantic provinces","2016A00011","Total disposition of cattle","July to December","Head","148","thousands","3","v41123349","3.6.2","55.3","","","","1"
"2000","Atlantic provinces","2016A00011","Slaughter of cattle","January to June","Head","148","thousands","3","v41123350","3.7.1","40.5","","","","1"
"2000","Atlantic provinces","2016A00011","Slaughter of cattle","July to December","Head","148","thousands","3","v41123351","3.7.2","40.2","","","","1"
"2000","Atlantic provinces","2016A00011","Interprovincial exports of cattle","January to June","Head","148","thousands","3","v41123352","3.8.1","14.2","","","","1"
"2000","Atlantic provinces","2016A00011","Interprovincial exports of cattle","July to December","Head","148","thousands","3","v41123353","3.8.2","5.9","","","","1"
"2000","Atlantic provinces","2016A00011","International exports of cattle","January to June","Head","148","thousands","3","v41123354","3.9.1","1.2","","","","1"
"2000","Atlantic provinces","2016A00011","International exports of cattle","July to December","Head","148","thousands","3","v41123355","3.9.2","0.8","","","","1"
"2000","Atlantic provinces","2016A00011","Deaths and condemnations of cattle","January to June","Head","148","thousands","3","v41123356","3.10.1","8.4","","","","1"
"2000","Atlantic provinces","2016A00011","Deaths and condemnations of cattle","July to December","Head","148","thousands","3","v41123357","3.10.2","8.4","","","","1"
"2000","Atlantic provinces","2016A00011","Ending inventory of cattle","January to June","Head","148","thousands","3","v41123358","3.11.1","302.4","","","","1"
"2000","Atlantic provinces","2016A00011","Ending inventory of cattle","July to December","Head","148","thousands","3","v41123359","3.11.2","294.2","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Total supply of cattle","January to June","Head","148","thousands","3","v41123360","4.1.1","10.5","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Total supply of cattle","July to December","Head","148","thousands","3","v41123361","4.1.2","10.5","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Beginning inventory of cattle","January to June","Head","148","thousands","3","v41123362","4.2.1","8.8","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Beginning inventory of cattle","July to December","Head","148","thousands","3","v41123363","4.2.2","8.9","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Calves born","January to June","Head","148","thousands","3","v41123364","4.3.1","1.7","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Calves born","July to December","Head","148","thousands","3","v41123365","4.3.2","1.6","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Interprovincial imports of cattle","January to June","Head","148","thousands","3","v41123366","4.4.1","0.0","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Interprovincial imports of cattle","July to December","Head","148","thousands","3","v41123367","4.4.2","0.0","","","","1"
"2000","Newfoundland and Labrador","2016A000210","International imports of cattle","January to June","Head","148","thousands","3","v41123368","4.5.1","0.0","","","","1"
"2000","Newfoundland and Labrador","2016A000210","International imports of cattle","July to December","Head","148","thousands","3","v41123369","4.5.2","0.0","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Total disposition of cattle","January to June","Head","148","thousands","3","v41123370","4.6.1","1.6","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Total disposition of cattle","July to December","Head","148","thousands","3","v41123371","4.6.2","1.3","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Slaughter of cattle","January to June","Head","148","thousands","3","v41123372","4.7.1","1.1","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Slaughter of cattle","July to December","Head","148","thousands","3","v41123373","4.7.2","0.9","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Interprovincial exports of cattle","January to June","Head","148","thousands","3","v41123374","4.8.1","0.0","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Interprovincial exports of cattle","July to December","Head","148","thousands","3","v41123375","4.8.2","0.0","","","","1"
"2000","Newfoundland and Labrador","2016A000210","International exports of cattle","January to June","Head","148","thousands","3","v41123376","4.9.1","0.0","","","","1"
"2000","Newfoundland and Labrador","2016A000210","International exports of cattle","July to December","Head","148","thousands","3","v41123377","4.9.2","0.0","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Deaths and condemnations of cattle","January to June","Head","148","thousands","3","v41123378","4.10.1","0.5","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Deaths and condemnations of cattle","July to December","Head","148","thousands","3","v41123379","4.10.2","0.4","","","","1"
