"REF_DATE","GEO","DGUID","Supply and disposition of hogs","Survey date","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2007","Prince Edward Island","2016A000211","Deaths and condemnations of hogs","July to December","Head","148","thousands","3","v1064723094","4.9.2","4.7","","","","1"
"2007","Prince Edward Island","2016A000211","Other disposition of hogs","July to December","Head","148","thousands","3","v1066363641","4.10.2","88.7","","","","1"
"2007","Prince Edward Island","2016A000211","Ending inventory of hogs","July to December","Head","148","thousands","3","v1064723096","4.11.2","101.7","","","","1"
"2007","Nova Scotia","2016A000212","Total supply of hogs","July to December","Head","148","thousands","3","v1064723098","5.1.2","158.0","","","","1"
"2007","Nova Scotia","2016A000212","Beginning inventory of hogs","July to December","Head","148","thousands","3","v1064723100","5.2.2","86.8","","","","1"
"2007","Nova Scotia","2016A000212","Pig crop","July to December","Head","148","thousands","3","v1064723102","5.3.2","69.0","","","","1"
"2007","Nova Scotia","2016A000212","Interprovincial imports of hogs","July to December","Head","148","thousands","3","v1064723104","5.4.2","2.2","","","","1"
"2007","Nova Scotia","2016A000212","International imports of hogs","July to December","Head","148","thousands","3","v1064723106","5.5.2","0.0","","","","1"
"2007","Nova Scotia","2016A000212","Total disposition of hogs","July to December","Head","148","thousands","3","v1066363643","5.6.2","90.7","","","","1"
"2007","Nova Scotia","2016A000212","Interprovincial exports of hogs","July to December","Head","148","thousands","3","v1064723108","5.7.2","0.0","","","","1"
"2007","Nova Scotia","2016A000212","International exports of hogs","July to December","Head","148","thousands","3","v1064723110","5.8.2","24.9","","","","1"
"2007","Nova Scotia","2016A000212","Deaths and condemnations of hogs","July to December","Head","148","thousands","3","v1064723112","5.9.2","4.4","","","","1"
"2007","Nova Scotia","2016A000212","Other disposition of hogs","July to December","Head","148","thousands","3","v1066363645","5.10.2","61.4","","","","1"
"2007","Nova Scotia","2016A000212","Ending inventory of hogs","July to December","Head","148","thousands","3","v1064723114","5.11.2","67.3","","","","1"
"2007","New Brunswick","2016A000213","Total supply of hogs","July to December","Head","148","thousands","3","v1064723116","6.1.2","209.3","","","","1"
"2007","New Brunswick","2016A000213","Beginning inventory of hogs","July to December","Head","148","thousands","3","v1064723118","6.2.2","95.7","","","","1"
"2007","New Brunswick","2016A000213","Pig crop","July to December","Head","148","thousands","3","v1064723120","6.3.2","113.6","","","","1"
"2007","New Brunswick","2016A000213","Interprovincial imports of hogs","July to December","Head","148","thousands","3","v1064723122","6.4.2","0.0","","","","1"
"2007","New Brunswick","2016A000213","International imports of hogs","July to December","Head","148","thousands","3","v1064723124","6.5.2","0.0","","","","1"
"2007","New Brunswick","2016A000213","Total disposition of hogs","July to December","Head","148","thousands","3","v1066363647","6.6.2","121.9","","","","1"
"2007","New Brunswick","2016A000213","Interprovincial exports of hogs","July to December","Head","148","thousands","3","v1064723126","6.7.2","29.5","","","","1"
"2007","New Brunswick","2016A000213","International exports of hogs","July to December","Head","148","thousands","3","v1064723128","6.8.2","32.7","","","","1"
"2007","New Brunswick","2016A000213","Deaths and condemnations of hogs","July to December","Head","148","thousands","3","v1064723130","6.9.2","4.5","","","","1"
"2007","New Brunswick","2016A000213","Other disposition of hogs","July to December","Head","148","thousands","3","v1066363649","6.10.2","55.2","","","","1"
"2007","New Brunswick","2016A000213","Ending inventory of hogs","July to December","Head","148","thousands","3","v1064723132","6.11.2","87.4","","","","1"
"2007","Quebec","2016A000224","Total supply of hogs","July to December","Head","148","thousands","3","v1064723134","7.1.2","7990.3","","","","1"
"2007","Quebec","2016A000224","Beginning inventory of hogs","July to December","Head","148","thousands","3","v1064723136","7.2.2","4190.0","","","","1"
"2007","Quebec","2016A000224","Pig crop","July to December","Head","148","thousands","3","v1064723138","7.3.2","3727.6","","","","1"
"2007","Quebec","2016A000224","Interprovincial imports of hogs","July to December","Head","148","thousands","3","v1064723140","7.4.2","72.5","","","","1"
"2007","Quebec","2016A000224","International imports of hogs","July to December","Head","148","thousands","3","v1064723142","7.5.2","0.2","","","","1"
"2007","Quebec","2016A000224","Total disposition of hogs","July to December","Head","148","thousands","3","v1066363651","7.6.2","3910.3","","","","1"
"2007","Quebec","2016A000224","Interprovincial exports of hogs","July to December","Head","148","thousands","3","v1064723144","7.7.2","2.4","","","","1"
"2007","Quebec","2016A000224","International exports of hogs","July to December","Head","148","thousands","3","v1064723146","7.8.2","35.5","","","","1"
"2007","Quebec","2016A000224","Deaths and condemnations of hogs","July to December","Head","148","thousands","3","v1064723148","7.9.2","196.1","","","","1"
"2007","Quebec","2016A000224","Other disposition of hogs","July to December","Head","148","thousands","3","v1066363653","7.10.2","3676.3","","","","1"
"2007","Quebec","2016A000224","Ending inventory of hogs","July to December","Head","148","thousands","3","v1064723150","7.11.2","4080.0","","","","1"
"2007","Ontario","2016A000235","Total supply of hogs","July to December","Head","148","thousands","3","v1064723152","8.1.2","7804.5","","","","1"
"2007","Ontario","2016A000235","Beginning inventory of hogs","July to December","Head","148","thousands","3","v1064723154","8.2.2","3958.7","","","","1"
"2007","Ontario","2016A000235","Pig crop","July to December","Head","148","thousands","3","v1064723156","8.3.2","3823.8","","","","1"
"2007","Ontario","2016A000235","Interprovincial imports of hogs","July to December","Head","148","thousands","3","v1064723158","8.4.2","21.7","","","","1"
"2007","Ontario","2016A000235","International imports of hogs","July to December","Head","148","thousands","3","v1064723160","8.5.2","0.3","","","","1"
"2007","Ontario","2016A000235","Total disposition of hogs","July to December","Head","148","thousands","3","v1066363655","8.6.2","4051.3","","","","1"
"2007","Ontario","2016A000235","Interprovincial exports of hogs","July to December","Head","148","thousands","3","v1064723162","8.7.2","48.8","","","","1"
"2007","Ontario","2016A000235","International exports of hogs","July to December","Head","148","thousands","3","v1064723164","8.8.2","1130.5","","","","1"
"2007","Ontario","2016A000235","Deaths and condemnations of hogs","July to December","Head","148","thousands","3","v1064723166","8.9.2","195.2","","","","1"
"2007","Ontario","2016A000235","Other disposition of hogs","July to December","Head","148","thousands","3","v1066363657","8.10.2","2676.8","","","","1"
"2007","Ontario","2016A000235","Ending inventory of hogs","July to December","Head","148","thousands","3","v1064723168","8.11.2","3753.2","","","","1"
"2007","Western provinces","","Total supply of hogs","July to December","Head","148","thousands","3","v1064723170","9.1.2","14660.3","","","","1"
"2007","Western provinces","","Beginning inventory of hogs","July to December","Head","148","thousands","3","v1064723172","9.2.2","6431.0","","","","1"
"2007","Western provinces","","Pig crop","July to December","Head","148","thousands","3","v1064723174","9.3.2","8161.6","","","","1"
"2007","Western provinces","","Interprovincial imports of hogs","July to December","Head","148","thousands","3","v1064723176","9.4.2","67.3","","","","1"
"2007","Western provinces","","International imports of hogs","July to December","Head","148","thousands","3","v1064723178","9.5.2","0.4","","","","1"
"2007","Western provinces","","Total disposition of hogs","July to December","Head","148","thousands","3","v1066363659","9.6.2","8671.3","","","","1"
"2007","Western provinces","","Interprovincial exports of hogs","July to December","Head","148","thousands","3","v1064723180","9.7.2","82.8","","","","1"
"2007","Western provinces","","International exports of hogs","July to December","Head","148","thousands","3","v1064723182","9.8.2","4129.0","","","","1"
"2007","Western provinces","","Deaths and condemnations of hogs","July to December","Head","148","thousands","3","v1064723184","9.9.2","416.2","","","","1"
"2007","Western provinces","","Other disposition of hogs","July to December","Head","148","thousands","3","v1066363661","9.10.2","4043.3","","","","1"
"2007","Western provinces","","Ending inventory of hogs","July to December","Head","148","thousands","3","v1064723186","9.11.2","5989.0","","","","1"
"2007","Manitoba","2016A000246","Total supply of hogs","July to December","Head","148","thousands","3","v1064723188","10.1.2","7815.8","","","","1"
"2007","Manitoba","2016A000246","Beginning inventory of hogs","July to December","Head","148","thousands","3","v1064723190","10.2.2","3005.0","","","","1"
"2007","Manitoba","2016A000246","Pig crop","July to December","Head","148","thousands","3","v1064723192","10.3.2","4776.0","","","","1"
"2007","Manitoba","2016A000246","Interprovincial imports of hogs","July to December","Head","148","thousands","3","v1064723194","10.4.2","34.5","","","","1"
"2007","Manitoba","2016A000246","International imports of hogs","July to December","Head","148","thousands","3","v1064723196","10.5.2","0.3","","","","1"
"2007","Manitoba","2016A000246","Total disposition of hogs","July to December","Head","148","thousands","3","v1066363663","10.6.2","4935.8","","","","1"
"2007","Manitoba","2016A000246","Interprovincial exports of hogs","July to December","Head","148","thousands","3","v1064723198","10.7.2","21.8","","","","1"
"2007","Manitoba","2016A000246","International exports of hogs","July to December","Head","148","thousands","3","v1064723200","10.8.2","3208.9","","","","1"
"2007","Manitoba","2016A000246","Deaths and condemnations of hogs","July to December","Head","148","thousands","3","v1064723202","10.9.2","238.0","","","","1"
"2007","Manitoba","2016A000246","Other disposition of hogs","July to December","Head","148","thousands","3","v1066363665","10.10.2","1467.1","","","","1"
"2007","Manitoba","2016A000246","Ending inventory of hogs","July to December","Head","148","thousands","3","v1064723204","10.11.2","2880.0","","","","1"
"2007","Saskatchewan","2016A000247","Total supply of hogs","July to December","Head","148","thousands","3","v1064723206","11.1.2","2767.1","","","","1"
"2007","Saskatchewan","2016A000247","Beginning inventory of hogs","July to December","Head","148","thousands","3","v1064723208","11.2.2","1345.0","","","","1"
"2007","Saskatchewan","2016A000247","Pig crop","July to December","Head","148","thousands","3","v1064723210","11.3.2","1422.1","","","","1"
"2007","Saskatchewan","2016A000247","Interprovincial imports of hogs","July to December","Head","148","thousands","3","v1064723212","11.4.2","0.0","","","","1"
"2007","Saskatchewan","2016A000247","International imports of hogs","July to December","Head","148","thousands","3","v1064723214","11.5.2","0.0","","","","1"
"2007","Saskatchewan","2016A000247","Total disposition of hogs","July to December","Head","148","thousands","3","v1066363667","11.6.2","1552.1","","","","1"
"2007","Saskatchewan","2016A000247","Interprovincial exports of hogs","July to December","Head","148","thousands","3","v1064723216","11.7.2","18.5","","","","1"
"2007","Saskatchewan","2016A000247","International exports of hogs","July to December","Head","148","thousands","3","v1064723218","11.8.2","599.5","","","","1"
"2007","Saskatchewan","2016A000247","Deaths and condemnations of hogs","July to December","Head","148","thousands","3","v1064723220","11.9.2","73.9","","","","1"
"2007","Saskatchewan","2016A000247","Other disposition of hogs","July to December","Head","148","thousands","3","v1066363669","11.10.2","860.2","","","","1"
"2007","Saskatchewan","2016A000247","Ending inventory of hogs","July to December","Head","148","thousands","3","v1064723222","11.11.2","1215.0","","","","1"
"2007","Alberta","2016A000248","Total supply of hogs","July to December","Head","148","thousands","3","v1064723224","12.1.2","3775.5","","","","1"
"2007","Alberta","2016A000248","Beginning inventory of hogs","July to December","Head","148","thousands","3","v1064723226","12.2.2","1950.0","","","","1"
"2007","Alberta","2016A000248","Pig crop","July to December","Head","148","thousands","3","v1064723228","12.3.2","1792.6","","","","1"
"2007","Alberta","2016A000248","Interprovincial imports of hogs","July to December","Head","148","thousands","3","v1064723230","12.4.2","32.8","","","","1"
"2007","Alberta","2016A000248","International imports of hogs","July to December","Head","148","thousands","3","v1064723232","12.5.2","0.1","","","","1"
"2007","Alberta","2016A000248","Total disposition of hogs","July to December","Head","148","thousands","3","v1066363671","12.6.2","2005.5","","","","1"
"2007","Alberta","2016A000248","Interprovincial exports of hogs","July to December","Head","148","thousands","3","v1064723234","12.7.2","10.0","","","","1"
"2007","Alberta","2016A000248","International exports of hogs","July to December","Head","148","thousands","3","v1064723236","12.8.2","311.0","","","","1"
"2007","Alberta","2016A000248","Deaths and condemnations of hogs","July to December","Head","148","thousands","3","v1064723238","12.9.2","96.9","","","","1"
"2007","Alberta","2016A000248","Other disposition of hogs","July to December","Head","148","thousands","3","v1066363673","12.10.2","1587.6","","","","1"
"2007","Alberta","2016A000248","Ending inventory of hogs","July to December","Head","148","thousands","3","v1064723240","12.11.2","1770.0","","","","1"
"2007","British Columbia","2016A000259","Total supply of hogs","July to December","Head","148","thousands","3","v1064723242","13.1.2","301.9","","","","1"
"2007","British Columbia","2016A000259","Beginning inventory of hogs","July to December","Head","148","thousands","3","v1064723244","13.2.2","131.0","","","","1"
"2007","British Columbia","2016A000259","Pig crop","July to December","Head","148","thousands","3","v1064723246","13.3.2","170.9","","","","1"
"2007","British Columbia","2016A000259","Interprovincial imports of hogs","July to December","Head","148","thousands","3","v1064723248","13.4.2","0.0","","","","1"
"2007","British Columbia","2016A000259","International imports of hogs","July to December","Head","148","thousands","3","v1064723250","13.5.2","0.0","","","","1"
"2007","British Columbia","2016A000259","Total disposition of hogs","July to December","Head","148","thousands","3","v1066363675","13.6.2","177.9","","","","1"
"2007","British Columbia","2016A000259","Interprovincial exports of hogs","July to December","Head","148","thousands","3","v1064723252","13.7.2","32.5","","","","1"
"2007","British Columbia","2016A000259","International exports of hogs","July to December","Head","148","thousands","3","v1064723254","13.8.2","9.6","","","","1"
"2007","British Columbia","2016A000259","Deaths and condemnations of hogs","July to December","Head","148","thousands","3","v1064723256","13.9.2","7.4","","","","1"
"2007","British Columbia","2016A000259","Other disposition of hogs","July to December","Head","148","thousands","3","v1066363677","13.10.2","128.4","","","","1"
"2007","British Columbia","2016A000259","Ending inventory of hogs","July to December","Head","148","thousands","3","v1064723258","13.11.2","124.0","","","","1"
"2008","Canada","2016A000011124","Total supply of hogs","January to June","Head","148","thousands","3","v1064723025","1.1.1","30214.4","","","","1"
"2008","Canada","2016A000011124","Total supply of hogs","July to December","Head","148","thousands","3","v1064723026","1.1.2","29225.5","","","","1"
"2008","Canada","2016A000011124","Beginning inventory of hogs","January to June","Head","148","thousands","3","v1064723027","1.2.1","14080.0","","","","1"
"2008","Canada","2016A000011124","Beginning inventory of hogs","July to December","Head","148","thousands","3","v1064723028","1.2.2","13320.0","","","","1"
"2008","Canada","2016A000011124","Pig crop","January to June","Head","148","thousands","3","v1064723029","1.3.1","15776.2","","","","1"
"2008","Canada","2016A000011124","Pig crop","July to December","Head","148","thousands","3","v1064723030","1.3.2","15497.7","","","","1"
"2008","Canada","2016A000011124","Interprovincial imports of hogs","January to June","Head","148","thousands","3","v1064723031","1.4.1","357.1","","","","1"
"2008","Canada","2016A000011124","Interprovincial imports of hogs","July to December","Head","148","thousands","3","v1064723032","1.4.2","406.3","","","","1"
"2008","Canada","2016A000011124","International imports of hogs","January to June","Head","148","thousands","3","v1064723033","1.5.1","1.1","","","","1"
"2008","Canada","2016A000011124","International imports of hogs","July to December","Head","148","thousands","3","v1064723034","1.5.2","1.5","","","","1"
"2008","Canada","2016A000011124","Total disposition of hogs","January to June","Head","148","thousands","3","v1066363626","1.6.1","16894.4","","","","1"
"2008","Canada","2016A000011124","Total disposition of hogs","July to December","Head","148","thousands","3","v1066363627","1.6.2","16525.5","","","","1"
"2008","Canada","2016A000011124","Interprovincial exports of hogs","January to June","Head","148","thousands","3","v1064723035","1.7.1","357.1","","","","1"
"2008","Canada","2016A000011124","Interprovincial exports of hogs","July to December","Head","148","thousands","3","v1064723036","1.7.2","406.3","","","","1"
"2008","Canada","2016A000011124","International exports of hogs","January to June","Head","148","thousands","3","v1064723037","1.8.1","5067.5","","","","1"
"2008","Canada","2016A000011124","International exports of hogs","July to December","Head","148","thousands","3","v1064723038","1.8.2","4289.7","","","","1"
"2008","Canada","2016A000011124","Deaths and condemnations of hogs","January to June","Head","148","thousands","3","v1064723039","1.9.1","804.2","","","","1"
"2008","Canada","2016A000011124","Deaths and condemnations of hogs","July to December","Head","148","thousands","3","v1064723040","1.9.2","788.8","","","","1"
"2008","Canada","2016A000011124","Other disposition of hogs","January to June","Head","148","thousands","3","v1066363628","1.10.1","10665.6","","","","1"
"2008","Canada","2016A000011124","Other disposition of hogs","July to December","Head","148","thousands","3","v1066363629","1.10.2","11040.7","","","","1"
"2008","Canada","2016A000011124","Ending inventory of hogs","January to June","Head","148","thousands","3","v1064723041","1.11.1","13320.0","","","","1"
"2008","Canada","2016A000011124","Ending inventory of hogs","July to December","Head","148","thousands","3","v1064723042","1.11.2","12700.0","","","","1"
"2008","Eastern provinces","","Total supply of hogs","January to June","Head","148","thousands","3","v1064723043","2.1.1","16100.8","","","","1"
"2008","Eastern provinces","","Total supply of hogs","July to December","Head","148","thousands","3","v1064723044","2.1.2","15991.1","","","","1"
"2008","Eastern provinces","","Beginning inventory of hogs","January to June","Head","148","thousands","3","v1064723045","2.2.1","8091.0","","","","1"
"2008","Eastern provinces","","Beginning inventory of hogs","July to December","Head","148","thousands","3","v1064723046","2.2.2","7702.0","","","","1"
"2008","Eastern provinces","","Pig crop","January to June","Head","148","thousands","3","v1064723047","2.3.1","7729.5","","","","1"
"2008","Eastern provinces","","Pig crop","July to December","Head","148","thousands","3","v1064723048","2.3.2","7973.7","","","","1"
"2008","Eastern provinces","","Interprovincial imports of hogs","January to June","Head","148","thousands","3","v1064723049","2.4.1","279.6","","","","1"
"2008","Eastern provinces","","Interprovincial imports of hogs","July to December","Head","148","thousands","3","v1064723050","2.4.2","315.0","","","","1"
"2008","Eastern provinces","","International imports of hogs","January to June","Head","148","thousands","3","v1064723051","2.5.1","0.7","","","","1"
"2008","Eastern provinces","","International imports of hogs","July to December","Head","148","thousands","3","v1064723052","2.5.2","0.4","","","","1"
"2008","Eastern provinces","","Total disposition of hogs","January to June","Head","148","thousands","3","v1066363630","2.6.1","8398.8","","","","1"
"2008","Eastern provinces","","Total disposition of hogs","July to December","Head","148","thousands","3","v1066363631","2.6.2","8515.1","","","","1"
"2008","Eastern provinces","","Interprovincial exports of hogs","January to June","Head","148","thousands","3","v1064723053","2.7.1","255.0","","","","1"
