Crop,Plant part,N (%wt),P (%wt),K (%wt),Ca (%wt),Mg (%wt),S (%wt),Cu (%wt),Mn (%wt),Zn (%wt)
Rapeseed ,Straw/Stover,4.48,0.43,3.37,1.47,0.06,0.68,0.0001,0.0008,
Soybeans ,Grain,6.25,0.64,1.9,0.29,0.29,0.17,0.0017,0.0021,0.0017
Soybeans ,Straw/Stover,2.25,0.22,1.04,1,0.45,0.25,0.001,0.0115,0.0038
Sunflower ,Grain,3.57,1.71,1.11,0.18,0.34,0.17,,0.0022,
Sunflower ,Straw/Stover,1.5,0.18,2.92,1.73,0.09,0.04,,0.0241,
Cotton ,Grain,2.67,0.58,0.83,0.13,0.27,0.2,0.004,0.0073,0.0213
Cotton ,Straw/Stover,1.75,0.22,1.45,1.4,0.4,0.75,,,
Alfalfa ,Forage,2.25,0.22,1.87,1.4,0.26,0.24,0.0008,0.0055,0.0053
Bahiagrass ,Forage,1.27,0.13,1.73,0.43,0.25,0.19,,,
Big bluestem ,Forage,0.99,0.85,1.75,,0.2,,,,
Birdsfoot trefoil ,Forage,2.49,0.22,1.82,1.75,0.4,,,,
Bluegrass-pastd. ,Forage,2.91,0.43,1.95,0.53,0.23,0.66,0.0014,0.0075,0.002
Bromegrass ,Forage,1.87,0.21,2.55,0.47,0.19,0.19,0.0008,0.0052,
Clover-grass ,Forage,1.52,0.27,1.69,0.92,0.28,0.15,0.0008,0.0106,
Dallisgrass ,Forage,1.92,0.2,1.72,0.56,0.4,,,,
Guineagrass ,Forage,1.25,0.44,1.89,,0.43,0.2,,,
Bermudagrass ,Forage,1.88,0.19,1.4,0.37,0.15,0.22,0.0013,,
Indiangrass ,Forage,1,0.85,1.2,0.15,,,,,
Lespedeza ,Forage,2.33,0.21,1.06,1.12,0.21,0.33,,0.0152,
Little bluestem ,Forage,1.1,0.85,1.45,,0.2,,,,
Orchardgrass ,Forage,1.47,0.2,2.16,0.3,0.24,0.26,0.0017,0.0078,
Pangolagrass ,Forage,1.3,0.47,1.87,,0.29,0.2,,,
Paragrass ,Forage,0.82,0.39,1.59,0.39,0.33,0.17,,,
Red clover ,Forage,2,0.22,1.66,1.38,0.34,0.14,0.0008,0.0108,0.0072
Reed canarygrass ,Forage,1.35,0.18,,0.36,,,,,
Ryegrass ,Forage,1.67,0.27,1.42,0.65,0.35,,,,
Switchgrass ,Forage,1.15,0.1,1.9,0.28,0.25,,,,
Tall fescue ,Forage,1.97,0.2,2,0.3,0.19,,,,
Timothy ,Forage,1.2,0.22,1.58,0.36,0.12,0.1,0.0006,0.0062,0.004
Wheatgrass ,Forage,1.42,0.27,2.68,0.36,0.24,0.11,,,
Leaves ,Leaves,0.06,0.46,,,,,,,
