DGUID,Bulls,Calves (under 1 year),"Cows, beef","Cows, dairy","Cows, total","Heifers, for beef herd replacement","Heifers, for dairy herd replacement","Heifers, for slaughter or feeding","Heifers, total",Steers,Total cattle,CD
2021A00032463,,1433.0,,3349.0,3772.0,,1312.0,348.0,1738.0,544.0,7516.0,2463
2021A00032464,,,,374.0,471.0,,187.0,,,,,2464
2021A00032465,,,,,,,,,,,,2465
2021A00032466,,,,0.0,,,0.0,,,0.0,,2466
2021A00032467,,845.0,,774.0,885.0,,361.0,,424.0,,2206.0,2467
2021A00032468,93.0,,446.0,2220.0,2666.0,,850.0,,1015.0,,5254.0,2468
2021A00032469,223.0,6427.0,1517.0,8721.0,10238.0,432.0,3228.0,,4538.0,2368.0,23794.0,2469
2021A00032470,,1886.0,,4772.0,4895.0,,1924.0,2635.0,4579.0,679.0,12056.0,2470
2021A00032471,,2003.0,292.0,2685.0,2977.0,82.0,1114.0,565.0,1761.0,933.0,7692.0,2471
2021A00032472,,811.0,490.0,1227.0,1717.0,,749.0,,854.0,273.0,3719.0,2472
2021A00032473,,,,476.0,493.0,0.0,103.0,,,0.0,726.0,2473
2021A00032474,,1669.0,758.0,4144.0,4902.0,,1680.0,124.0,1853.0,5057.0,13521.0,2474
2021A00032475,,,,257.0,,,116.0,,,,580.0,2475
2021A00032476,,1656.0,746.0,3468.0,4214.0,146.0,1363.0,113.0,1622.0,,7659.0,2476
2021A00032477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2477
2021A00032478,,321.0,,395.0,682.0,,142.0,,259.0,,1340.0,2478
2021A00032479,118.0,2287.0,2524.0,1651.0,4175.0,270.0,566.0,,937.0,,7836.0,2479
2021A00032480,206.0,2088.0,2390.0,1008.0,3398.0,481.0,435.0,,1104.0,,7111.0,2480
2021A00032481,,,,,,,,,,,,2481
2021A00032482,190.0,2240.0,3408.0,324.0,3732.0,412.0,156.0,434.0,1002.0,500.0,7664.0,2482
2021A00032483,228.0,1873.0,2592.0,576.0,3168.0,399.0,184.0,,699.0,,6248.0,2483
2021A00032484,309.0,3916.0,5601.0,1740.0,7341.0,850.0,536.0,269.0,1656.0,787.0,14008.0,2484
2021A00032485,118.0,2540.0,2649.0,2605.0,5254.0,334.0,926.0,,1339.0,410.0,9660.0,2485
2021A00032486,449.0,955.0,2302.0,,2412.0,310.0,,219.0,579.0,284.0,4679.0,2486
2021A00032487,279.0,4506.0,5973.0,1449.0,7422.0,746.0,528.0,418.0,1692.0,1122.0,15021.0,2487
2021A00032488,117.0,1773.0,2415.0,990.0,3405.0,203.0,396.0,,762.0,,6178.0,2488
2021A00032489,,340.0,400.0,261.0,661.0,44.0,133.0,,200.0,,1247.0,2489
2021A00032490,,,,,,0.0,,,,,,2490
2021A00032491,,1302.0,1379.0,2354.0,3733.0,140.0,816.0,,1030.0,,6309.0,2491
2021A00032492,,2648.0,2274.0,4496.0,6770.0,305.0,1532.0,,1923.0,436.0,11912.0,2492
2021A00032493,,2513.0,985.0,7699.0,8684.0,390.0,2433.0,,2957.0,,15061.0,2493
2021A00032494,,2212.0,1716.0,4064.0,5780.0,217.0,1516.0,,1820.0,,10113.0,2494
2021A00032495,,390.0,509.0,231.0,740.0,,83.0,,,,1344.0,2495
2021A00032496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2496
2021A00032497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2497
2021A00032498,,,,0.0,,0.0,0.0,0.0,0.0,,,2498
2021A00032499,32.0,241.0,374.0,0.0,374.0,,0.0,,,,769.0,2499
