CD,Sheep,Lamb,Sheep_AU,Lamb_AU,SheepAnimalUnits,Sheep_Manure_kgperyear,Lamb_Manure_kgperyear,SheepManure_kgperyear,Sheep_P_kgperyear,Lamb_P_kgperyear,SheepP_kgperyear,Sheep_Pinorg_kgperyear,Lamb_Pinorg_kgperyear,SheepPinorg_kgperyear,Sheep_Porg_kgperyear,Lamb_Porg_kgperyear,SheepPorg_kgperyear
2401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2405,1896.0,1927.0,379.2,269.88795518207286,649.0879551820728,2513489.28,1788925.3221288517,4302414.602128851,4398.606239999999,3130.6193137254904,7529.22555372549,2155.3170575999998,1534.0034637254903,3689.32052132549,2243.2891823999994,1596.6158500000001,3839.9050323999995
2406,1354.0,1145.0,270.8,160.3641456582633,431.16414565826335,1794970.72,1062957.7030812325,2857928.4230812322,3141.1987599999998,1860.1759803921566,5001.374740392156,1539.1873924,911.4862303921567,2450.6736227921565,1602.0113675999999,948.6897499999999,2550.7011175999996
2407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2408,2957.0,2760.0,591.4,386.5546218487395,977.9546218487394,3920035.7600000002,2562238.655462185,6482274.415462185,6860.062580000001,4483.917647058824,11343.980227058824,3361.4306642,2197.1196470588234,5558.550311258823,3498.6319158000006,2286.7980000000002,5785.429915800001
2409,10997.0,8788.0,2199.4,1230.812324929972,3430.212324929972,14578502.959999999,8158316.414565826,22736819.374565825,25512.380179999996,14277.053725490196,39789.433905490194,12501.066288199998,6995.756325490196,19496.822613690194,13011.313891799999,7281.2973999999995,20292.6112918
2410,5280.0,5586.0,1056.0,782.3529411764706,1838.3529411764707,6999590.399999999,5185748.235294118,12185338.635294117,12249.283199999998,9075.059411764705,21324.342611764703,6002.148767999999,4446.779111764706,10448.927879764706,6247.134431999999,4628.280299999999,10875.414731999997
2411,2535.0,2103.0,507.0,294.5378151260504,801.5378151260504,3360598.8000000003,1952314.4537815126,5312913.253781512,5881.0479000000005,3416.550294117647,9297.598194117647,2881.713471,1674.109644117647,4555.823115117647,2999.3344290000005,1742.44065,4741.775079000001
2412,6236.0,5113.0,1247.2,716.1064425770309,1963.3064425770308,8266940.48,4746639.943977592,13013580.423977591,14467.145840000001,8306.619901960785,22773.765741960786,7088.9014616,4070.2437519607843,11159.145213560785,7378.244378400001,4236.37615,11614.6205284
2413,2264.0,2210.0,452.8,309.5238095238095,762.3238095238096,3001339.52,2051647.619047619,5052987.139047619,5252.34416,3590.383333333333,8842.727493333332,2573.6486384,1759.2878333333333,4332.936471733334,2678.6955215999997,1831.0955,4509.7910216
2414,2593.0,2060.0,518.6,288.515406162465,807.115406162465,3437488.2399999998,1912395.5182072832,5349883.758207283,6015.60442,3346.6921568627454,9362.296576862745,2947.6461658,1639.8791568627453,4587.525322662745,3067.9582542,1706.813,4774.7712542
2415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2416,1669.0,1310.0,333.8,183.4733893557423,517.2733893557423,2212559.92,1216135.0140056023,3428694.9340056023,3871.97986,2128.236274509804,6000.216134509804,1897.2701313999999,1042.835774509804,2940.105905909804,1974.7097286,1085.4005,3060.1102286
2417,1111.0,981.0,222.2,137.39495798319328,359.59495798319324,1472830.48,910708.7394957984,2383539.2194957985,2577.4533399999996,1593.740294117647,4171.193634117646,1262.9521365999997,780.932744117647,2043.8848807176466,1314.5012034,812.80755,2127.3087533999997
2418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
