DGUID,Bison (buffalo),Deer (excluding wild deer),Donkeys and mules,Elk (wapiti),Goats,Horses and ponies,Llamas and alpacas,Mink,Rabbits,CD
2021A00032486,0.0,0.0,,0.0,,,26.0,0.0,,2486
2021A00032487,0.0,0.0,,0.0,,,45.0,0.0,,2487
2021A00032488,0.0,0.0,,0.0,,126.0,0.0,0.0,,2488
2021A00032489,0.0,0.0,,0.0,,,0.0,0.0,0.0,2489
2021A00032490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2490
2021A00032491,,,0.0,0.0,0.0,,,0.0,,2491
2021A00032492,334.0,0.0,0.0,,,,,0.0,,2492
2021A00032493,0.0,,0.0,0.0,,113.0,,0.0,,2493
2021A00032494,0.0,464.0,24.0,,,383.0,25.0,0.0,,2494
2021A00032495,0.0,0.0,7.0,0.0,,0.0,0.0,0.0,0.0,2495
2021A00032496,0.0,,,0.0,,,,0.0,,2496
2021A00032497,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2497
2021A00032498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2498
2021A00032499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2499
